批號,品項,原料批號,生產日期,出貨對象
B1036,即食雞胸,b-1036,2026-01-09,B
BATCH1037,原味吐司,B1037,2026/2/10,B
BATCH1038,氣泡飲,b-1038,20260311,項目1
B1039,冷凍水餃,b-1039,2026-04-12,項目2
b-1040,氣泡飲,B1040,2026-05-13,項目2
b-1041,巧克力餅乾,B1041,2026-06-14,C
b-1042,沙拉醬,BATCH1042,20260715,A
B1043,冷凍水餃,B1043,2026/8/16,A
BATCH1044,能量棒,b-1044,2026-09-17,C
b-1045,湯包,BATCH1045,20261018,項目1
BATCH1046,即食雞胸,b-1046,2026-11-19,C
b-1047,沙拉醬,BATCH1047,20 Jan 2026,項目3
B1048,能量棒,BATCH1048,20260121,A
BATCH1049,冷凍水餃,b-1049,2026-02-22,C
B1050,氣泡飲,BATCH1050,20260323,項目2
b-1051,冷凍水餃,,24 May 2026,項目3
b-1052,泡芙,B1052,25 Jun 2026,項目2
b-1053,氣泡飲,b-1053,2026/6/26,C
BATCH1054,冷凍水餃,BATCH1054,2026/7/27,A
BATCH1055,即食雞胸,B1055,20260828,B
b-1056,果醬,b-1056,2026/9/1,A
b-1057,堅果包,b-1057,20261002,項目1
b-1058,泡芙,b-1058,2026-11-03,項目3
b-1059,布丁,b-1059,20261204,項目2
B1060,冷凍水餃,BATCH1060,2026-01-05,項目1
b-1061,果醬,B1061,2026-02-06,項目1
BATCH1062,布丁,B1062,2026/3/7,B
BATCH1063,杯裝優格,B1063,8 May 2026,項目1
BATCH1064,布丁,b-1064,20260509,項目2
b-1065,鮮奶茶,b-1065,10 Jan 2026,項目2
B1066,沙拉醬,b-1066,2026-07-11,B
B1067,冷凍水餃,B1067,2026/8/12,B
BATCH1068,即食雞胸,BATCH1068,2026-09-13,項目3
BATCH1069,能量棒,b-1069,2026-10-14,項目2
B1070,即食雞胸,B1070,2026/11/15,項目1
B1071,泡芙,B1071,2026/12/16,A
BATCH1072,即食雞胸,b-1072,2026-01-17,項目2
BATCH1073,布丁,B1073,2026-02-18,項目1
b-1074,湯包,B1074,,B
B1075,杯裝優格,BATCH1075,2026/4/20,A
B1076,,B1076,20260521,項目2
B1077,冷凍水餃,BATCH1077,22 Jan 2026,B
b-1078,,B1078,20260723,項目2
BATCH1079,巧克力餅乾,BATCH1079,2026-08-24,項目2
BATCH1080,氣泡飲,B1080,2026/9/25,A
B1081,原味吐司,b-1081,20261026,B
b-1082,蛋捲,b-1082,20261127,B
b-1083,蛋捲,BATCH1083,28 Jan 2026,B
BATCH1084,堅果包,BATCH1084,20260101,項目3
BATCH1085,布丁,b-1085,2026-02-02,B
b-1086,鮮奶茶,B1086,2026-03-03,項目1
BATCH1087,果醬,b-1087,2026/4/4,B
b-1088,沙拉醬,b-1088,5 Jun 2026,項目3
B1089,果醬,b-1089,2026-06-06,項目1
B1090,沙拉醬,BATCH1090,2026-07-07,A
BATCH1091,即食雞胸,BATCH1091,2026-08-08,C
b-1092,沙拉醬,B1092,2026-09-09,項目1
B1093,布丁,b-1093,10 May 2026,A
b-1094,能量棒,BATCH1094,20261111,項目3
B1095,能量棒,B1095,20261212,項目1
B1096,鮮奶茶,BATCH1096,2026/1/13,項目3
b-1097,原味吐司,b-1097,20260214,A
BATCH1098,湯包,b-1098,2026/3/15,B
b-1099,果醬,BATCH1099,20260416,項目1
b-1100,巧克力餅乾,b-1100,17 Jun 2026,項目2
b-1101,布丁,BATCH1101,2026-06-18,項目1
B1102,鮮奶茶,BATCH1102,19 Feb 2026,項目1
B1103,杯裝優格,B1103,20 Mar 2026,項目1
b-1104,沙拉醬,b-1104,20260921,項目3
BATCH1105,果醬,b-1105,22 May 2026,項目1
BATCH1106,氣泡飲,B1106,20261123,A
b-1107,即食雞胸,BATCH1107,2026/12/24,C
BATCH1108,堅果包,BATCH1108,2026/1/25,項目2
b-1109,果醬,BATCH1109,20260226,C
BATCH1110,蛋捲,b-1110,2026-03-27,項目2
B1111,巧克力餅乾,BATCH1111,20260428,項目3
b-1112,冷凍水餃,B1112,2026/5/1,項目3
B1113,鮮奶茶,B1113,20260602,B
B1114,沙拉醬,B1114,20260703,B
BATCH1115,泡芙,B1115,2026/8/4,項目1
B1116,湯包,B1116,5 Apr 2026,C
b-1117,即食雞胸,B1117,2026-10-06,A
B1118,布丁,BATCH1118,20261107,項目1
B1119,蛋捲,b-1119,8 Jan 2026,B
BATCH1120,果醬,b-1120,9 Feb 2026,B
BATCH1121,杯裝優格,BATCH1121,10 Mar 2026,C
BATCH1122,果醬,BATCH1122,2026-03-11,C
BATCH1123,湯包,BATCH1123,12 May 2026,B
B1124,冷凍水餃,B1124,20260513,A
b-1125,果醬,BATCH1125,14 Jan 2026,A
BATCH1126,沙拉醬,B1126,15 Feb 2026,項目3
B1127,湯包,B1127,2026-08-16,項目2
B1128,能量棒,B1128,2026/9/17,C
BATCH1129,杯裝優格,b-1129,20261018,C
b-1130,沙拉醬,BATCH1130,19 Jun 2026,項目3
B1131,冷凍水餃,B1131,20261220,C
B1132,即食雞胸,b-1132,2026/1/21,A
b-1133,湯包,b-1133,2026-02-22,A
b-1134,原味吐司,b-1134,23 Apr 2026,項目1
b-1135,冷凍水餃,b-1135,20260424,A
BATCH1136,冷凍水餃,b-1136,20260525,項目2
b-1137,冷凍水餃,BATCH1137,2026-06-26,項目3
B1138,氣泡飲,b-1138,20260727,項目1
B1139,巧克力餅乾,B1139,2026/8/28,項目2
BATCH1108,堅果包,BATCH1108,2026/1/25,項目2
